pscase_type	pscase_mode	frontier	countmin_search	countmin_mode	BF_steps	runtime
mix_gen	false	lapq	hybrid	online	3	1.8456 ± 0.0545
mix_gen	false	lapq	dedup	blank	2	1.8459 ± 0.0652
mix_gen	false	lapq	npf	blank	2	1.8464 ± 0.0586
mix_gen	false	lapq	ob	online	2	1.8470 ± 0.0797
mix_all	false	lapq	ob	blank	2	1.8489 ± 0.0405
randomH	false	lapq	dedup	online	2	1.8489 ± 0.0588
mix_all	online	lapq	dedup	offline	3	1.8503 ± 0.0892
mix_all	false	lapq	ob	offline	3	1.8505 ± 0.0783
randomH	false	lapq	dedup	blank	3	1.8526 ± 0.0796
mix_all	false	lapq	hybrid	blank	3	1.8529 ± 0.0797
randomH	false	lapq	npf	offline	2	1.8531 ± 0.0901
mix_gen	false	lapq	ob	offline	3	1.8550 ± 0.0463
mix_gen	false	lapq	npf	online	2	1.8575 ± 0.0782
mix_gen	false	lapq	npf	offline	3	1.8580 ± 0.0693
randomH	false	lapq	dedup	blank	2	1.8587 ± 0.0591
mix_gen	online	lapq	dedup	blank	3	1.8595 ± 0.0670
mix_all	false	lapq	ob	online	2	1.8601 ± 0.0240
mix_all	false	lapq	hybrid	offline	2	1.8623 ± 0.0752
mix_gen	online	lapq	dedup	offline	3	1.8624 ± 0.0787
mix_gen	online	lapq	hybrid	blank	3	1.8634 ± 0.0505
randomH	online	lapq	npf	offline	3	1.8640 ± 0.0741
randomH	false	lapq	ob	offline	2	1.8656 ± 0.0874
randomH	online	lapq	dedup	blank	2	1.8669 ± 0.0911
randomH	online	lapq	npf	blank	2	1.8672 ± 0.0960
mix_gen	online	lapq	npf	offline	2	1.8682 ± 0.0910
randomH	false	lapq	hybrid	offline	3	1.8689 ± 0.0674
mix_gen	false	lapq	npf	offline	2	1.8691 ± 0.0378
mix_gen	false	lapq	npf	online	3	1.8699 ± 0.0734
mix_all	false	lapq	hybrid	blank	2	1.8700 ± 0.1123
randomH	false	lapq	hybrid	blank	3	1.8725 ± 0.0628
mix_gen	false	lapq	dedup	online	3	1.8738 ± 0.0912
mix_gen	false	lapq	dedup	offline	2	1.8743 ± 0.0527
mix_gen	false	lapq	ob	online	3	1.8743 ± 0.0861
mix_gen	false	lapq	hybrid	offline	3	1.8744 ± 0.0887
mix_all	false	lapq	dedup	blank	3	1.8745 ± 0.0677
randomH	false	lapq	dedup	offline	2	1.8747 ± 0.0554
mix_gen	online	lapq	npf	online	2	1.8749 ± 0.1019
randomH	false	lapq	dedup	offline	3	1.8752 ± 0.0784
mix_gen	online	lapq	dedup	online	3	1.8757 ± 0.0796
mix_gen	false	lapq	hybrid	offline	2	1.8763 ± 0.1131
mix_all	false	lapq	npf	online	3	1.8766 ± 0.0756
mix_gen	false	lapq	ob	offline	2	1.8774 ± 0.0615
randomH	false	lapq	npf	blank	3	1.8786 ± 0.0797
mix_all	online	lapq	ob	blank	2	1.8794 ± 0.0475
mix_all	online	lapq	ob	online	3	1.8797 ± 0.0338
mix_gen	online	lapq	dedup	online	2	1.8798 ± 0.0700
mix_gen	online	lapq	hybrid	offline	3	1.8804 ± 0.0634
mix_gen	online	lapq	dedup	offline	2	1.8811 ± 0.1047
mix_gen	online	lapq	ob	offline	3	1.8816 ± 0.0662
mix_all	online	lapq	dedup	online	3	1.8819 ± 0.1268
mix_gen	online	lapq	hybrid	online	2	1.8822 ± 0.0733
mix_all	false	lapq	dedup	blank	2	1.8825 ± 0.0369
mix_all	online	lapq	npf	blank	2	1.8831 ± 0.0814
mix_all	false	lapq	npf	offline	3	1.8850 ± 0.0262
randomH	online	lapq	ob	blank	2	1.8853 ± 0.0551
mix_all	online	lapq	dedup	blank	3	1.8856 ± 0.0695
randomH	online	lapq	dedup	offline	3	1.8859 ± 0.1080
randomH	online	lapq	ob	offline	3	1.8862 ± 0.0703
mix_all	false	lapq	npf	blank	3	1.8863 ± 0.1252
randomH	online	lapq	dedup	offline	2	1.8865 ± 0.1221
mix_all	online	lapq	false	false	0	1.8867 ± 0.0674
mix_gen	online	lapq	npf	online	3	1.8869 ± 0.0613
mix_all	false	lapq	hybrid	offline	3	1.8885 ± 0.0923
randomH	false	lapq	ob	online	3	1.8896 ± 0.0655
randomH	online	lapq	npf	online	2	1.8925 ± 0.1006
mix_all	online	lapq	dedup	blank	2	1.8928 ± 0.1098
randomH	online	lapq	ob	online	3	1.8937 ± 0.0718
